Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Feature8;Feature9;Feature10;Feature11;Pensioner
3;22;4;5;0;0;1;4;0;0;0;0
13;306;14;50;0;1;2;9;1;1;0;1
67;228;4;56;0;2;14;31;1;1;0;0
3;6;0;9;0;0;1;2;3;0;1;1
65;545;76;134;0;3;5;51;1;1;0;1
0;0;0;0;0;1;12;1;1;0;0;0
5;172;45;16;0;0;1;6;1;1;0;0
39;47;2;59;0;1;1;12;2;0;1;0
0;59;5;8;0;1;5;1;1;1;0;0
26;429;28;143;0;0;1;26;2;0;0;0
11;85;53;16;0;3;4;9;1;1;0;1
4;46;3;20;1;1;2;2;1;1;0;0
13;190;12;21;0;1;1;9;1;0;0;0
12;57;30;13;1;0;4;6;0;1;0;1
7;31;0;21;0;0;2;7;1;0;1;0
23;76;30;53;1;3;3;35;1;0;0;0
1;62;0;0;0;0;2;67;1;0;1;1
5;142;184;12;0;0;1;6;4;1;0;0
0;0;0;0;0;0;0;0;0;1;0;0
22;306;1;36;3;1;3;39;2;1;0;1
22;460;110;62;6;6;5;43;3;1;0;0
28;257;37;32;0;0;2;14;1;1;0;0
5;125;28;3;2;1;83;11;4;0;1;1
3;22;5;3;0;0;1;2;1;1;0;0
5;80;0;7;1;1;1;6;0;1;0;0
37;154;63;66;0;1;3;11;1;1;0;0
4;0;0;1;15;4;220;0;4;0;1;0
54;1;0;6;0;0;0;0;0;0;0;0
14;136;80;12;1;0;10;8;2;1;0;0
23;75;23;42;0;1;1;8;1;1;0;0
2;23;0;3;0;0;1;2;1;0;1;0
22;54;3;64;3;9;6;24;1;0;1;0
3;7;0;0;0;0;0;0;1;0;0;0
14;105;0;34;0;0;1;3;1;1;0;0
1;0;0;0;0;0;1;18;0;1;0;0
7;32;0;20;0;0;1;7;1;1;0;0
0;2;0;1;0;0;0;0;1;1;0;1
63;8;49;122;2;5;2;35;1;1;0;0
1;1;0;3;0;0;1;1;0;1;0;0
30;11;0;2;0;0;0;8;0;1;0;0
14;198;36;11;0;0;1;4;2;1;0;1
0;7;0;0;0;0;1;0;0;1;0;0
19;135;5;24;1;3;2;14;1;1;0;0
2;6;0;0;0;0;1;1;0;0;1;0
25;121;4;81;1;10;8;22;2;0;1;0
12;54;0;16;1;0;2;3;0;1;0;0
4;22;127;9;0;0;1;1;1;1;0;0
0;1;1;6;0;0;3;2;1;1;0;0
4;18;0;2;1;0;2;3;0;1;0;0
2;523;2;2;0;0;1;3;1;1;0;0
32;145;63;60;4;0;5;21;4;0;0;0
3;1;0;1;0;1;1;1;0;1;0;0
7;126;14;16;0;1;1;6;1;1;0;1
0;2;0;1;0;0;0;0;0;1;0;0
15;44;0;28;0;0;1;1;1;1;0;0
0;1;0;0;0;0;0;0;0;1;0;0
11;72;0;7;0;2;1;22;1;1;0;0
0;1;0;0;0;0;1;0;2;0;1;0
26;225;8;52;1;1;4;27;1;1;0;0
14;383;67;44;0;0;2;3;1;1;0;1
9;33;0;6;0;0;1;3;1;1;0;0
16;35;0;29;1;0;2;10;2;0;0;1
1;70;22;13;1;1;1;6;3;1;0;0
3;19;0;9;1;1;3;3;2;0;1;0
13;38;0;24;0;0;1;4;2;1;0;0
3;23;0;2;0;0;1;2;1;0;1;0
3;37;1;4;1;0;1;3;0;0;1;1
7;198;20;20;0;1;1;15;1;1;0;0
10;92;0;3;1;0;0;1;1;1;0;1
0;0;0;0;0;0;1;0;2;0;1;1
0;11;0;3;0;2;1;2;7;0;1;0
8;83;0;20;0;1;1;16;0;1;0;1
20;165;0;25;0;3;7;11;1;1;0;0
12;42;27;22;0;0;3;7;1;1;0;1
3;3;0;15;0;0;2;1;0;0;1;0
4;9;0;4;1;0;4;6;1;1;0;0
1;17;68;1;0;0;0;0;0;1;0;0
1;9;0;2;0;0;1;0;0;0;1;0
5;145;93;7;0;0;1;2;0;1;0;1
1;143;8;10;1;3;2;13;1;1;0;1
0;1;0;0;0;0;0;0;0;1;0;0
11;660;21;28;2;1;3;22;18;0;0;1
4;2;2;6;0;0;1;1;2;0;1;1
15;24;2;30;0;5;4;10;1;1;0;0
2;360;7;3;1;0;7;4;3;1;0;0
4;30;0;59;0;2;1;1;0;0;1;0
